[2025-03-16T02:31:24.685819] Added Carrot at (5, 0).
[2025-03-16T02:31:52.809120] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:52.809261] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:52.809549] Harvesting system activated.
[2025-03-16T02:31:53.789452] Water evaporated. Remaining water: 85500 ml.
[2025-03-16T02:31:53.790008] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:53.790553] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:53.790835] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:53.791038] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:53.791228] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:53.791417] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:53.791608] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:53.791779] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:53.791968] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:53.792156] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:53.792342] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:53.792525] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:53.792705] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:53.792893] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:53.793070] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:53.793246] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:53.793488] Harvesting system activated.
[2025-03-16T02:31:54.789376] Water evaporated. Remaining water: 85000 ml.
[2025-03-16T02:31:54.789929] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:54.790456] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:54.790830] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:54.791174] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:54.791364] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:54.791550] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:54.791734] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:54.791913] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:54.792100] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:54.792269] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:54.792448] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:54.792633] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:54.792801] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:54.792987] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:54.793152] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:54.793338] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:54.793565] Harvesting system activated.
[2025-03-16T02:31:54.805166] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:54.805466] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:54.805687] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:54.805884] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:54.806078] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:54.806263] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:54.806477] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:54.806641] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:54.806790] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:54.806968] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:54.807117] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:54.807288] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:54.807433] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:54.807574] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:54.807721] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:54.807869] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:54.808047] Sun has set. Turning on artificial lights.
[2025-03-16T02:31:54.808197] Lighting system activated at (0,0) for Lavender
[2025-03-16T02:31:54.808448] Lighting system activated at (0,1) for Lettuce
[2025-03-16T02:31:54.808597] Lighting system activated at (0,3) for Lettuce
[2025-03-16T02:31:54.808746] Lighting system activated at (0,5) for Lavender
[2025-03-16T02:31:54.808889] Lighting system activated at (1,3) for Eggplant
[2025-03-16T02:31:54.809044] Lighting system activated at (1,5) for Corn
[2025-03-16T02:31:54.809189] Lighting system activated at (2,0) for Corn
[2025-03-16T02:31:54.809336] Lighting system activated at (2,1) for Eggplant
[2025-03-16T02:31:54.809539] Lighting system activated at (2,4) for Eggplant
[2025-03-16T02:31:54.809725] Lighting system activated at (3,1) for Pumpkin
[2025-03-16T02:31:54.809882] Lighting system activated at (4,5) for Lettuce
[2025-03-16T02:31:54.810024] Lighting system activated at (5,0) for Carrot
[2025-03-16T02:31:54.810170] Lighting system activated at (5,2) for Carrot
[2025-03-16T02:31:54.810373] Lighting system activated at (5,3) for Eggplant
[2025-03-16T02:31:54.810572] Lighting system activated at (5,5) for Lavender
[2025-03-16T02:31:54.810759] Lavender at (0,0) growth hours: 0/12
[2025-03-16T02:31:54.810912] Lettuce at (0,1) growth hours: 0/6
[2025-03-16T02:31:54.811070] Lettuce at (0,3) growth hours: 0/6
[2025-03-16T02:31:54.811219] Lavender at (0,5) growth hours: 0/12
[2025-03-16T02:31:54.811378] Eggplant at (1,3) growth hours: 48/72
[2025-03-16T02:31:54.811529] Corn at (1,5) growth hours: 0/12
[2025-03-16T02:31:54.811673] Corn at (2,0) growth hours: 0/12
[2025-03-16T02:31:54.811839] Eggplant at (2,1) growth hours: 48/72
[2025-03-16T02:31:54.811976] Eggplant at (2,4) growth hours: 48/72
[2025-03-16T02:31:54.812130] Pumpkin at (3,1) growth hours: 0/14
[2025-03-16T02:31:54.812277] Lettuce at (4,5) growth hours: 0/6
[2025-03-16T02:31:54.812419] Carrot at (5,0) growth hours: 0/7
[2025-03-16T02:31:54.812590] Carrot at (5,2) growth hours: 0/7
[2025-03-16T02:31:54.812742] Eggplant at (5,3) growth hours: 48/72
[2025-03-16T02:31:54.812896] Lavender at (5,5) growth hours: 0/12
[2025-03-16T02:31:54.813047] Corn at (6,0) growth hours: 0/12
[2025-03-16T02:31:54.813183] Eggplant at (6,2) growth hours: 48/72
[2025-03-16T02:31:54.813328] Corn at (6,3) growth hours: 0/12
[2025-03-16T02:31:54.813466] Carrot at (6,5) growth hours: 0/7
[2025-03-16T02:31:54.813621] Carrot at (7,2) growth hours: 0/7
[2025-03-16T02:31:54.813766] Eggplant at (7,3) growth hours: 48/72
[2025-03-16T02:31:54.813902] Pumpkin at (7,4) growth hours: 0/14
[2025-03-16T02:31:54.814045] Eggplant at (7,5) growth hours: 48/72
[2025-03-16T02:31:54.814166] Harvesting system activated.
[2025-03-16T02:31:55.789351] Water evaporated. Remaining water: 84500 ml.
[2025-03-16T02:31:55.789946] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:55.790519] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:55.790897] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:55.791209] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:55.791452] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:55.791649] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:55.791830] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:55.792024] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:55.792213] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:55.792391] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:55.792582] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:55.792753] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:55.792942] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:55.793112] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:55.793296] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:55.793489] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:55.793716] Harvesting system activated.
[2025-03-16T02:31:56.805407] Water evaporated. Remaining water: 84000 ml.
[2025-03-16T02:31:56.805955] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:56.806659] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:56.807034] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:56.807356] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:56.807552] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:56.807743] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:56.807929] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:56.808111] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:56.808303] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:56.808485] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:56.808671] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:56.808852] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:56.809031] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:56.809214] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:56.809393] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:56.809588] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:56.809825] Harvesting system activated.
[2025-03-16T02:31:57.805809] Water evaporated. Remaining water: 83500 ml.
[2025-03-16T02:31:57.806370] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:57.806876] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:57.807104] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:57.807321] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:57.807520] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:57.807697] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:57.807890] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:57.808076] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:57.808269] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:57.808465] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:57.808652] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:57.808832] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:57.809017] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:57.809213] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:57.809427] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:57.809599] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:57.809820] Harvesting system activated.
[2025-03-16T02:31:58.805162] Water evaporated. Remaining water: 83000 ml.
[2025-03-16T02:31:58.818530] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:58.821034] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:58.842338] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:58.843798] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:58.844010] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:58.881417] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:58.881977] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:58.882405] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:58.882639] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:58.882912] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:58.883133] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:58.883328] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:58.883512] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:58.883691] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:58.883871] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:58.884062] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:58.884301] Harvesting system activated.
[2025-03-16T02:31:59.789259] Water evaporated. Remaining water: 82500 ml.
[2025-03-16T02:31:59.789830] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:59.790399] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:59.791046] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:59.791321] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:59.791507] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:59.791696] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:59.791880] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:59.792061] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:59.792237] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:59.792422] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:59.792591] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:59.792777] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:59.792946] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:59.793127] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:59.793307] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:59.793480] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:59.793722] Harvesting system activated.
[2025-03-16T02:31:59.805291] Watering system activated at (0,0) for Lavender
[2025-03-16T02:31:59.805643] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:31:59.805877] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:31:59.806078] Watering system activated at (0,5) for Lavender
[2025-03-16T02:31:59.806264] Watering system activated at (1,5) for Corn
[2025-03-16T02:31:59.806474] Watering system activated at (2,0) for Corn
[2025-03-16T02:31:59.806661] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:31:59.806868] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:31:59.807018] Watering system activated at (5,0) for Carrot
[2025-03-16T02:31:59.807166] Watering system activated at (5,2) for Carrot
[2025-03-16T02:31:59.807362] Watering system activated at (5,5) for Lavender
[2025-03-16T02:31:59.807537] Watering system activated at (6,0) for Corn
[2025-03-16T02:31:59.807691] Watering system activated at (6,3) for Corn
[2025-03-16T02:31:59.807827] Watering system activated at (6,5) for Carrot
[2025-03-16T02:31:59.807964] Watering system activated at (7,2) for Carrot
[2025-03-16T02:31:59.808108] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:31:59.808352] Sunlight is available. No need for artificial lighting.
[2025-03-16T02:31:59.808566] Lavender at (0,0) growth hours: 0/12
[2025-03-16T02:31:59.808732] Lettuce at (0,1) growth hours: 0/6
[2025-03-16T02:31:59.808879] Lettuce at (0,3) growth hours: 0/6
[2025-03-16T02:31:59.809030] Lavender at (0,5) growth hours: 0/12
[2025-03-16T02:31:59.809249] Eggplant at (1,3) growth hours: 72/72
[2025-03-16T02:31:59.809424] Corn at (1,5) growth hours: 0/12
[2025-03-16T02:31:59.809571] Corn at (2,0) growth hours: 0/12
[2025-03-16T02:31:59.809711] Eggplant at (2,1) growth hours: 72/72
[2025-03-16T02:31:59.809858] Eggplant at (2,4) growth hours: 72/72
[2025-03-16T02:31:59.809999] Pumpkin at (3,1) growth hours: 0/14
[2025-03-16T02:31:59.810135] Lettuce at (4,5) growth hours: 0/6
[2025-03-16T02:31:59.810304] Carrot at (5,0) growth hours: 0/7
[2025-03-16T02:31:59.810441] Carrot at (5,2) growth hours: 0/7
[2025-03-16T02:31:59.810580] Eggplant at (5,3) growth hours: 72/72
[2025-03-16T02:31:59.810719] Lavender at (5,5) growth hours: 0/12
[2025-03-16T02:31:59.810855] Corn at (6,0) growth hours: 0/12
[2025-03-16T02:31:59.810998] Eggplant at (6,2) growth hours: 72/72
[2025-03-16T02:31:59.811133] Corn at (6,3) growth hours: 0/12
[2025-03-16T02:31:59.811318] Carrot at (6,5) growth hours: 0/7
[2025-03-16T02:31:59.811490] Carrot at (7,2) growth hours: 0/7
[2025-03-16T02:31:59.811652] Eggplant at (7,3) growth hours: 72/72
[2025-03-16T02:31:59.811805] Pumpkin at (7,4) growth hours: 0/14
[2025-03-16T02:31:59.811947] Eggplant at (7,5) growth hours: 72/72
[2025-03-16T02:31:59.812075] Harvesting system activated.
[2025-03-16T02:31:59.812811] Harvested Eggplant from (1, 3).
[2025-03-16T02:31:59.813033] Harvested Eggplant from (2, 1).
[2025-03-16T02:31:59.813208] Harvested Eggplant from (2, 4).
[2025-03-16T02:31:59.813427] Harvested Eggplant from (5, 3).
[2025-03-16T02:31:59.813661] Harvested Eggplant from (6, 2).
[2025-03-16T02:31:59.813877] Harvested Eggplant from (7, 3).
[2025-03-16T02:31:59.814058] Harvested Eggplant from (7, 5).
[2025-03-16T02:32:00.805306] Water evaporated. Remaining water: 82000 ml.
[2025-03-16T02:32:00.805890] Watering system activated at (0,0) for Lavender
[2025-03-16T02:32:00.806421] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:32:00.806802] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:32:00.807112] Watering system activated at (0,5) for Lavender
[2025-03-16T02:32:00.807370] Watering system activated at (1,5) for Corn
[2025-03-16T02:32:00.807560] Watering system activated at (2,0) for Corn
[2025-03-16T02:32:00.807740] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:32:00.807932] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:32:00.808110] Watering system activated at (5,0) for Carrot
[2025-03-16T02:32:00.808298] Watering system activated at (5,2) for Carrot
[2025-03-16T02:32:00.808482] Watering system activated at (5,5) for Lavender
[2025-03-16T02:32:00.808665] Watering system activated at (6,0) for Corn
[2025-03-16T02:32:00.808844] Watering system activated at (6,3) for Corn
[2025-03-16T02:32:00.809044] Watering system activated at (6,5) for Carrot
[2025-03-16T02:32:00.809219] Watering system activated at (7,2) for Carrot
[2025-03-16T02:32:00.809407] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:32:00.809621] Harvesting system activated.
[2025-03-16T02:32:01.805111] Water evaporated. Remaining water: 81500 ml.
[2025-03-16T02:32:01.805350] Watering system activated at (0,0) for Lavender
[2025-03-16T02:32:01.805747] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:32:01.805862] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:32:01.805950] Watering system activated at (0,5) for Lavender
[2025-03-16T02:32:01.806029] Watering system activated at (1,5) for Corn
[2025-03-16T02:32:01.806120] Watering system activated at (2,0) for Corn
[2025-03-16T02:32:01.806236] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:32:01.806521] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:32:01.806837] Watering system activated at (5,0) for Carrot
[2025-03-16T02:32:01.807066] Watering system activated at (5,2) for Carrot
[2025-03-16T02:32:01.807285] Watering system activated at (5,5) for Lavender
[2025-03-16T02:32:01.807455] Watering system activated at (6,0) for Corn
[2025-03-16T02:32:01.807613] Watering system activated at (6,3) for Corn
[2025-03-16T02:32:01.807869] Watering system activated at (6,5) for Carrot
[2025-03-16T02:32:01.808093] Watering system activated at (7,2) for Carrot
[2025-03-16T02:32:01.808374] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:32:01.808603] Harvesting system activated.
[2025-03-16T02:32:02.805060] Water evaporated. Remaining water: 81000 ml.
[2025-03-16T02:32:02.805269] Watering system activated at (0,0) for Lavender
[2025-03-16T02:32:02.805703] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:32:02.805823] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:32:02.805942] Watering system activated at (0,5) for Lavender
[2025-03-16T02:32:02.806057] Watering system activated at (1,5) for Corn
[2025-03-16T02:32:02.806180] Watering system activated at (2,0) for Corn
[2025-03-16T02:32:02.806288] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:32:02.806402] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:32:02.806548] Watering system activated at (5,0) for Carrot
[2025-03-16T02:32:02.806675] Watering system activated at (5,2) for Carrot
[2025-03-16T02:32:02.806819] Watering system activated at (5,5) for Lavender
[2025-03-16T02:32:02.806972] Watering system activated at (6,0) for Corn
[2025-03-16T02:32:02.807075] Watering system activated at (6,3) for Corn
[2025-03-16T02:32:02.807195] Watering system activated at (6,5) for Carrot
[2025-03-16T02:32:02.807298] Watering system activated at (7,2) for Carrot
[2025-03-16T02:32:02.807396] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:32:02.807557] Harvesting system activated.
[2025-03-16T02:32:03.805331] Water evaporated. Remaining water: 80500 ml.
[2025-03-16T02:32:03.805893] Watering system activated at (0,0) for Lavender
[2025-03-16T02:32:03.806456] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:32:03.806704] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:32:03.806903] Watering system activated at (0,5) for Lavender
[2025-03-16T02:32:03.807085] Watering system activated at (1,5) for Corn
[2025-03-16T02:32:03.807273] Watering system activated at (2,0) for Corn
[2025-03-16T02:32:03.807450] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:32:03.807623] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:32:03.807798] Watering system activated at (5,0) for Carrot
[2025-03-16T02:32:03.807967] Watering system activated at (5,2) for Carrot
[2025-03-16T02:32:03.808142] Watering system activated at (5,5) for Lavender
[2025-03-16T02:32:03.808327] Watering system activated at (6,0) for Corn
[2025-03-16T02:32:03.808504] Watering system activated at (6,3) for Corn
[2025-03-16T02:32:03.808688] Watering system activated at (6,5) for Carrot
[2025-03-16T02:32:03.808859] Watering system activated at (7,2) for Carrot
[2025-03-16T02:32:03.809057] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:32:03.809235] Harvesting system activated.
[2025-03-16T02:32:04.805118] Water evaporated. Remaining water: 80000 ml.
[2025-03-16T02:32:04.805453] Watering system activated at (0,0) for Lavender
[2025-03-16T02:32:04.805921] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:32:04.806094] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:32:04.806265] Watering system activated at (0,5) for Lavender
[2025-03-16T02:32:04.806420] Watering system activated at (1,5) for Corn
[2025-03-16T02:32:04.806618] Watering system activated at (2,0) for Corn
[2025-03-16T02:32:04.806815] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:32:04.807015] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:32:04.807195] Watering system activated at (5,0) for Carrot
[2025-03-16T02:32:04.807409] Watering system activated at (5,2) for Carrot
[2025-03-16T02:32:04.807597] Watering system activated at (5,5) for Lavender
[2025-03-16T02:32:04.807765] Watering system activated at (6,0) for Corn
[2025-03-16T02:32:04.807908] Watering system activated at (6,3) for Corn
[2025-03-16T02:32:04.808088] Watering system activated at (6,5) for Carrot
[2025-03-16T02:32:04.808240] Watering system activated at (7,2) for Carrot
[2025-03-16T02:32:04.808383] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:32:04.808569] Harvesting system activated.
[2025-03-16T02:32:04.808990] Watering system activated at (0,0) for Lavender
[2025-03-16T02:32:04.809166] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:32:04.809315] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:32:04.809462] Watering system activated at (0,5) for Lavender
[2025-03-16T02:32:04.809669] Watering system activated at (1,5) for Corn
[2025-03-16T02:32:04.809842] Watering system activated at (2,0) for Corn
[2025-03-16T02:32:04.809994] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:32:04.810129] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:32:04.810337] Watering system activated at (5,0) for Carrot
[2025-03-16T02:32:04.810515] Watering system activated at (5,2) for Carrot
[2025-03-16T02:32:04.810672] Watering system activated at (5,5) for Lavender
[2025-03-16T02:32:04.810820] Watering system activated at (6,0) for Corn
[2025-03-16T02:32:04.810966] Watering system activated at (6,3) for Corn
[2025-03-16T02:32:04.811108] Watering system activated at (6,5) for Carrot
[2025-03-16T02:32:04.811253] Watering system activated at (7,2) for Carrot
[2025-03-16T02:32:04.811451] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:32:04.811657] Sunlight is available. No need for artificial lighting.
[2025-03-16T02:32:04.811854] Lavender at (0,0) growth hours: 0/12
[2025-03-16T02:32:04.812030] Lettuce at (0,1) growth hours: 0/6
[2025-03-16T02:32:04.812185] Lettuce at (0,3) growth hours: 0/6
[2025-03-16T02:32:04.812325] Lavender at (0,5) growth hours: 0/12
[2025-03-16T02:32:04.812473] Corn at (1,5) growth hours: 0/12
[2025-03-16T02:32:04.812631] Corn at (2,0) growth hours: 0/12
[2025-03-16T02:32:04.812792] Pumpkin at (3,1) growth hours: 0/14
[2025-03-16T02:32:04.812943] Lettuce at (4,5) growth hours: 0/6
[2025-03-16T02:32:04.813086] Carrot at (5,0) growth hours: 0/7
[2025-03-16T02:32:04.813231] Carrot at (5,2) growth hours: 0/7
[2025-03-16T02:32:04.813374] Lavender at (5,5) growth hours: 0/12
[2025-03-16T02:32:04.813514] Corn at (6,0) growth hours: 0/12
[2025-03-16T02:32:04.813657] Corn at (6,3) growth hours: 0/12
[2025-03-16T02:32:04.813800] Carrot at (6,5) growth hours: 0/7
[2025-03-16T02:32:04.813944] Carrot at (7,2) growth hours: 0/7
[2025-03-16T02:32:04.814094] Pumpkin at (7,4) growth hours: 0/14
[2025-03-16T02:32:04.814216] Harvesting system activated.
[2025-03-16T02:32:05.789191] Water evaporated. Remaining water: 79500 ml.
[2025-03-16T02:32:05.789798] Watering system activated at (0,0) for Lavender
[2025-03-16T02:32:05.790159] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:32:05.790387] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:32:05.790567] Watering system activated at (0,5) for Lavender
[2025-03-16T02:32:05.790753] Watering system activated at (1,5) for Corn
[2025-03-16T02:32:05.790926] Watering system activated at (2,0) for Corn
[2025-03-16T02:32:05.791110] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:32:05.791283] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:32:05.791528] Watering system activated at (5,0) for Carrot
[2025-03-16T02:32:05.791750] Watering system activated at (5,2) for Carrot
[2025-03-16T02:32:05.791951] Watering system activated at (5,5) for Lavender
[2025-03-16T02:32:05.792135] Watering system activated at (6,0) for Corn
[2025-03-16T02:32:05.792324] Watering system activated at (6,3) for Corn
[2025-03-16T02:32:05.792514] Watering system activated at (6,5) for Carrot
[2025-03-16T02:32:05.792686] Watering system activated at (7,2) for Carrot
[2025-03-16T02:32:05.792876] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:32:05.793104] Harvesting system activated.
[2025-03-16T02:32:06.789096] Water evaporated. Remaining water: 79000 ml.
[2025-03-16T02:32:06.789644] Watering system activated at (0,0) for Lavender
[2025-03-16T02:32:06.790224] Watering system activated at (0,1) for Lettuce
[2025-03-16T02:32:06.790596] Watering system activated at (0,3) for Lettuce
[2025-03-16T02:32:06.790902] Watering system activated at (0,5) for Lavender
[2025-03-16T02:32:06.791157] Watering system activated at (1,5) for Corn
[2025-03-16T02:32:06.791339] Watering system activated at (2,0) for Corn
[2025-03-16T02:32:06.791527] Watering system activated at (3,1) for Pumpkin
[2025-03-16T02:32:06.791713] Watering system activated at (4,5) for Lettuce
[2025-03-16T02:32:06.791896] Watering system activated at (5,0) for Carrot
[2025-03-16T02:32:06.792075] Watering system activated at (5,2) for Carrot
[2025-03-16T02:32:06.792257] Watering system activated at (5,5) for Lavender
[2025-03-16T02:32:06.792436] Watering system activated at (6,0) for Corn
[2025-03-16T02:32:06.792628] Watering system activated at (6,3) for Corn
[2025-03-16T02:32:06.792813] Watering system activated at (6,5) for Carrot
[2025-03-16T02:32:06.792991] Watering system activated at (7,2) for Carrot
[2025-03-16T02:32:06.793177] Watering system activated at (7,4) for Pumpkin
[2025-03-16T02:32:06.793393] Harvesting system activated.
[2025-03-16T02:32:07.805284] Water evaporated. Remaining water: 78500 ml.
[2025-03-16T02:32:07.805879] Watering system activated at (0,0) for Lavender
